Question,A,B,C,D,Answer
"Phần 3 - Câu 35. Xác suất thuốc A thành công là 0.7, thuốc B là 0.8. Bệnh nhân dùng cả hai. Xác suất thành công cả hai:",0.56,0.6,0.65,0.7,A
"Phần 3 - Câu 36. Một bệnh nhân có 60% khả năng mắc bệnh A, 40% bệnh B. Nếu mắc bệnh A thì 90% hồi phục, bệnh B thì 80%. Tính xác suất bệnh nhân hồi phục.",0.54,0.86,0.84,0.87,B
"Phần 3 - Câu 37. Có 3 phòng xét nghiệm: P1 (50%), P2 (30%), P3 (20%). Xác suất kết quả đúng là: P1 (0.9), P2 (0.8), P3 (0.95). Tính xác suất kết quả đúng bất kỳ.",0.885,0.9,0.86,0.88,D
"Phần 3 - Câu 38. Một loại thuốc được sản xuất từ 3 nhà máy: A (40%), B (35%), C (25%). Tỷ lệ đạt chuẩn tương ứng là 90%, 85%, 80%. Tính xác suất chọn ngẫu nhiên thuốc đạt chuẩn.",0.85,0.865,0.88,0.84,B
"Phần 3 - Câu 39. Trong 100 bệnh nhân: 70 đến từ thành phố, 30 từ nông thôn. Tỷ lệ khỏi bệnh: TP (80%), NT (60%). Tính xác suất chọn ngẫu nhiên 1 người khỏi bệnh.",0.7,0.74,0.68,0.72,B
"Phần 3 - Câu 40. Có 3 bác sĩ khám bệnh: A (40%), B (30%), C (30%). Xác suất chẩn đoán đúng: A (95%), B (90%), C (85%). Tính xác suất chẩn đoán đúng.",0.9,0.915,0.92,0.93,A
"Phần 3 - Câu 41. Một bệnh nhân có 3 lựa chọn điều trị: thuốc (60%), vật lý trị liệu (30%), kết hợp (10%). Tỷ lệ khỏi tương ứng là 70%, 60%, 90%. Tính xác suất khỏi bệnh.",0.72,0.69,0.74,0.75,B
"Phần 3 - Câu 42. Có 4 khu vực tiêm chủng: A (25%), B (25%), C (30%), D (20%). Tỷ lệ có phản ứng phụ: A (10%), B (5%), C (15%), D (20%). Tính xác suất xảy ra phản ứng phụ.",0.12,0.125,0.13,0.135,B
"Phần 3 - Câu 43. Một loại vắc xin có 3 lô sản xuất: L1 (50%), L2 (30%), L3 (20%). Tỷ lệ đạt chất lượng: L1 (95%), L2 (90%), L3 (85%). Tính xác suất lấy ngẫu nhiên 1 liều đạt chuẩn.",0.91,0.915,0.92,0.925,B
"Phần 3 - Câu 44. Có 3 bệnh viện tiếp nhận bệnh nhân: A (40%), B (35%), C (25%). Xác suất điều trị thành công: A (85%), B (90%), C (80%). Tính xác suất điều trị thành công chung.",0.85,0.86,0.865,0.875,B
"Phần 3 - Câu 45. Bệnh nhân có thể chọn khám gói thường (60%) hoặc gói VIP (40%). Tỷ lệ hài lòng: thường (70%), VIP (95%). Xác suất hài lòng là:",0.79,0.81,0.85,0.87,A
Phần 3 - Câu 46. Cho bảng tần số: Bảng: Số lần đau đầu (X) | 0 | 1 | 2 | 3 / Số bệnh nhân (f) | 4 | 6 | 8 | 2 Tính kỳ vọng E(X):,1.1,1.2,1.3,1.4,D
Phần 3 - Câu 47. Cho bảng số liệu về số lần nhập viện: Bảng: Số lần (X) | 1 | 2 | 3 / Số bệnh nhân (f) | 5 | 3 | 2 Tính phương sai:,0.56,0.6,0.7,0.8,B
Phần 3 - Câu 48. Cho bảng số liệu mức độ đau (X): Bảng: Mức độ (X) | 1 | 2 | 3 | 4 / f | 1 | 3 | 4 | 2 Tính độ lệch chuẩn gần nhất:,0.9,1.1,1.2,1.3,A
Phần 3 - Câu 49. Cho bảng số liệu số lần tái khám: Bảng: X (số thuốc dùng/ngày) | 0 | 1 | 2 / f | 3 | 5 | 2 Tính kỳ vọng E(X):,0.9,1.0,1.1,1.2,A
Phần 3 - Câu 50. Cho bảng tần số: Bảng: X (số thuốc dùng/ngày) | 1 | 2 | 3 / f | 2 | 5 | 3 Tính phương sai gần nhất:,0.6,0.7,0.8,0.9,A
