Question,A,B,C,D,Answer
"130. Để khử mùi tanh của cá, người ta dùng chất nào sau đây ?",Ancol etylic (C 2H5OH).,Giấm ăn (CH 3COOH).,Chuối xanh thái lác (Chứa tanin).,Cả A; B; C đều đúng. 3,
"131. Amin X tác dụng với hỗn hợp dung dịch NaNO 2 và HCl, tạo khí N 2 không màu và có mùi thơm rượu. CTCT của X là ?",Metylamin.,Anilin.,Etylamin.,Đimetylamin.,
132. Cho các al col sau: CH 3OH; C 2H5OH; HOCH 2-CH 2OH; HOCH 2-CH 2- CH 2OH; CH 3-CH(OH) -CH 2OH. Số al col cho ở trên phản ứng được với Cu(OH) 2 ở nhiệt độ thường là ?,3.,5.,2.,,
4. 133. Phát biểu nào sau đây là sai ?,Anilin được điều chế trực tiếp từ nitrobenzen.,Anilin là một base có khả năng làm quỳ tím hoá xanh.,Anilin cho được kết tủa trắng với nước brom.,Anilin có tính base yếu hơn amoniac.,
"134. Acid Picric (2,4,6 -trinitrophenol) có dạng tinh thể màu vàng và là một t rong những hợp chất có tính acid mạnh nhất của phenol. Như các hợp chất ch ứa nhiều nitrat khác (TNT), acid picric là một chất n ổ. CTPT của acid picric là ?",C 6H3N3O7.,C 6H5OH.,C 9H8O4.,C 8H9NO,
"2. 135. Acid benzoic được sử dụng như một chất bảo quản thực phẩm (Thường được kí hiệu là E -210) cho xúc xích, nước sốt cà chua, mù tạt, bơ thực vật … Nó ức chế sự phát triển của nấm mốc, nấm men v à một số vi khuẩn. CTPT của acid benzoic là ?",CH 3COOH.,HCOOH.,C6H5COOH.,(COOH),
"2. 136. Khi bị ong đốt, để giảm đau, giảm sưng, kinh nghiệm dân gian thường dùng chất nào sau đây để bôi trực tiếp lên vết thương ?",Nước vôi.,Nước muối.,Giấm.,Cồn.,
137. Chất nào sau đây thuộc loại amin bậc hai ?,Phenylamin.,Metylamin.,Đimetylamin.,Trimetylamin.,
138. Thực hiện các phản ứng hóa học sau: (1) Anilin phản ứng với dung dịch Br2; (2) Metylamin phản ứng với dung dịch HCl; (3) Phenol phản ứng với dung dịch NaOH; (4) Phenol phản ứng với dung dịch Br2. Số phản ứng hóa học tạo được kết tủa trắng là ?,4.,2.,1.,,
"3. 139. Đốt cháy 1,0 mol butan thu được a mol CO 2 và b mol H 2O. Tổng (a+b) là ?",9 mol.,4 mol.,13 mol.,5 mol. 4,
"140. Có bao nhiêu hợp chất hữu cơ có cùng CTPT C 7H8O có chứa vòng benzen; tác dụng được với Na, sinh ra khí H 2 ?",3.,1.,2.,,
4. 141. Số chất có cùng CTPT C 5H8 tác dụng được với dung dịch AgNO 3 trong NH 3; sinh ra kết tủa vàng là ?,5.,3.,4.,,
3. 142. Axetilen cháy trong không khí với ngọn lửa sáng; tỏa nhiều nhiệt. Đốt cháy hoàn toàn axetilen cần a mol khí O 2; thu được 4 mol khí CO 2. Giá trị của a là ?,5.,10.,"2,5.",,
4. 143. Hợp chất X có CTCT: CH 3CH(C 2H5)CH(OH)CH 3. Tên gọi của X là ?,4-etylpentan -2-ol.,2-etylbutan -3-ol.,3-etylhexan -5-ol.,3-metylpentan -2-ol.,
144. Hiđrat hóa 2 -metylbut -2-en thu được sản phẩm chính là ?,2-metylbutan -2-ol.,3-metylbutan -1-ol.,3-metylbutan -2-ol.,2-metylbutan -1-ol.,
145. Hãy chọn các câu phát biểu đúng về phenol ? (1) Phenol là hợp chất có vòng benzen và có nhóm –OH. (2) Phenol là hợp chất chứa một hoặc nhiều nhóm hidroxyl ( -OH) liên kết trực tiếp với vòng benzen. (3) Phen ol có tính axit nhưng nó là acid yếu hơn axit cacbonic. (4) Phenol tan vô hạn trong nước lạnh. (5) Phenol tan trong dung dịch NaOH tạo thành natri phenolat.,(1); (2); (3); (5).,(1); (2); (5).,(2); (3); (5).,(2); (3); (4).,
146. Phân biệt các chất riêng biệt sau: phenol; axit axetic và axit acrylic bằng dung dịch nào sau đây ?,Na 2CO 3.,AgNO 3/NH 3.,Br 2.,NaOH.,
147. Dung dịch axit axetic phản ứng được với tất cả các chất trong dãy sau đây ?,Na; CuO; HCl.,NaOH; Cu; NaCl.,Na; CuO; NaCl.,NaOH; CaCO 3; Na.,
148. Đồng phân cis -pent-2-en và trans -pent-2-en là 2 đồng phân ?,Đồng phân mạch car bon.,Đồng phân hình học.,Đồng phân vị trí nhóm chức.,Đồng phân nhóm chức.,
149. Etilen glicol làm chất chống đông cho nước dùng trong két nước làm mát động cơ ô tô và để sản xuất tơ polieste. CTCT của etilen glicol là ? 5,C 2H4(OH) 2.,C 2H4.,C 3H5(OH) 3.,C 2H5OH.,
150. Khí nào sau đây kích thích trái cây mau chín ?,Etan.,Etilen.,Metan.,Axetilen. 151: Acid citric hay acid xitric [HOOC -CH 2-C(COOH)(OH) -CH 2-COOH]. Độ không no của acid này là: A.,
3. B. 0. C. 2. D. 1. 152. Cho các chất sau: (1) acid propanoic; (2) acid axetic; (3) etanol; (4) đimetyl ete. Nhiệt độ theo chiều giảm dần ?,(2) > (1) > (3) > (4).,(2) > (3) > (1) > (4).,(1) > (2) > (3) > (4).,(4) > (3) > (2) > (1).,
"153. X là hợp chất thơm; a mol X phản ứng vừa hết với a lít dung dịch NaOH 1M. Mặt khác, nếu cho a mol X phản ứng với Na (dư) thì sau phản ứng thu được 22,4a lít khí H 2 (ở đktc). Công thức cấu tạo thu gọn của X là ?",HOC 6H4COOCH 3.,CH 3C6H3(OH) 2.,HOC 6H4COOH.,"HOCH 2C6H4OH. 154: Hợp chất sau đây: CH 3CH(CH 3)CH=C(CH 3)CH 2CH 3 có tên gọi là ? A. 2,4 -đimetylhex -3-en. B. 2-metylhex -3-en. C. 3-metylhex -3-en. D. 3,5 -đimetylhex -3-en. 155: Vitamin A là một nhóm các chất hòa tan trong chất béo quan trọng với cơ thể, đặc biệt là thị lực, tăng trưởng, quá trình phân chia tế bào, sinh sản và hệ thống miễn dịch. Vitamin A có đặc tính chống oxy hóa giúp bảo vệ các tế bào chống lại tác động của các gốc tự do ,…CTCT của vitamin A như sau: a. Tìm độ không no của vitamin A? b. Tìm số mắc xích isoprene của vitamin A. 6",
